team,tournament,year,confederation,elo_entering,fifa_rank_entering,draw_difficulty,rounds_reached,host_nation,squad_avg_age,squad_age_sd,pct_under_23,pct_over_30,herfindahl_league,pct_domestic_league,pct_big5_league,pct_same_club,avg_intl_caps,avg_intl_mins,lineup_consistency,manager_tenure_months,core_xi_stability,PPDA_approx,set_piece_goal_pct,counter_goal_pct,friendly_record_last3m,competitive_pts_per_game_last12m,odds_implied_prob,goals_for,goals_against,xG_for_total,xGA_total,data_quality
Iceland,EURO,2016,UEFA,1650,34,3,2,0,28.0,3.5,0.10,0.30,0.28,0.18,0.40,0.22,42,2600,0.90,52,0.88,11.5,0.36,0.20,2.0,1.9,0.06,8,9,6.5,8.0,estimated
Wales,EURO,2016,UEFA,1720,26,3,3,0,27.0,3.8,0.15,0.25,0.22,0.05,0.70,0.18,38,2300,0.85,48,0.82,10.8,0.30,0.25,1.8,2.0,0.10,10,6,8.5,6.5,estimated
France,EURO,2016,UEFA,1900,7,4,4,1,26.5,3.6,0.20,0.18,0.10,0.10,0.92,0.15,45,2800,0.70,30,0.68,9.0,0.22,0.20,2.2,2.3,0.45,13,5,12.0,5.5,estimated
Germany,EURO,2016,UEFA,1930,4,3,2,0,27.0,3.4,0.18,0.20,0.12,0.20,0.88,0.20,52,3200,0.72,72,0.70,8.5,0.25,0.15,2.1,2.4,0.40,7,3,9.5,4.0,estimated
Portugal,EURO,2016,UEFA,1850,8,3,5,0,27.5,4.0,0.15,0.28,0.16,0.18,0.75,0.16,50,3000,0.78,58,0.76,10.0,0.30,0.22,1.9,2.0,0.20,9,5,9.0,6.0,estimated
England,EURO,2016,UEFA,1870,11,3,1,0,25.5,3.2,0.28,0.12,0.30,0.92,0.95,0.15,30,1700,0.65,8,0.62,9.5,0.20,0.18,2.0,2.1,0.25,4,2,4.5,3.0,estimated
Italy,EURO,2016,UEFA,1860,12,2,2,0,28.5,3.8,0.08,0.35,0.32,0.85,0.45,0.22,48,3100,0.80,36,0.78,9.8,0.32,0.18,1.8,1.9,0.18,6,4,5.5,4.5,estimated
Italy,EURO,2021,UEFA,1900,7,3,5,0,28.0,4.2,0.12,0.30,0.30,0.88,0.50,0.20,46,2900,0.86,40,0.84,8.8,0.34,0.20,2.4,2.5,0.22,13,4,11.5,5.0,estimated
Denmark,EURO,2021,UEFA,1780,10,3,3,0,27.0,3.6,0.16,0.22,0.24,0.20,0.65,0.18,40,2400,0.84,40,0.82,9.5,0.33,0.24,2.0,2.0,0.10,12,7,9.5,7.5,estimated
Czech Republic,EURO,2021,UEFA,1720,40,4,2,0,27.5,3.4,0.14,0.24,0.26,0.45,0.40,0.20,38,2300,0.82,30,0.80,10.0,0.35,0.22,1.7,1.7,0.07,6,5,5.0,5.5,estimated
France,EURO,2021,UEFA,1980,2,2,1,0,27.0,3.5,0.18,0.20,0.10,0.08,0.95,0.16,55,3400,0.68,36,0.66,8.8,0.20,0.18,2.3,2.4,0.50,4,3,5.0,3.5,estimated
Germany,EURO,2021,UEFA,1900,12,3,1,0,27.5,3.6,0.16,0.24,0.12,0.22,0.85,0.18,50,3100,0.66,180,0.64,8.6,0.24,0.16,1.9,2.0,0.30,6,5,6.0,5.0,estimated
England,EURO,2021,UEFA,1920,4,3,4,0,25.0,3.0,0.30,0.10,0.32,0.95,0.98,0.16,32,1900,0.78,30,0.76,9.0,0.28,0.18,2.3,2.4,0.32,11,2,9.0,3.0,estimated
Croatia,WC,2018,UEFA,1820,20,3,4,0,28.0,3.8,0.12,0.30,0.18,0.05,0.78,0.18,52,3200,0.86,30,0.84,9.8,0.28,0.22,1.8,1.9,0.12,14,9,10.5,8.5,estimated
Belgium,WC,2018,UEFA,1920,3,3,3,0,27.5,3.6,0.14,0.24,0.14,0.05,0.85,0.16,55,3400,0.80,36,0.78,8.5,0.26,0.28,2.3,2.4,0.30,16,6,12.0,6.5,estimated
France,WC,2018,UEFA,1950,7,3,5,0,25.5,3.4,0.28,0.12,0.10,0.10,0.92,0.14,40,2400,0.78,30,0.76,8.8,0.24,0.30,2.2,2.3,0.42,14,6,11.0,6.0,estimated
Brazil,WC,2018,CONMEBOL,1960,2,3,2,0,27.5,3.8,0.14,0.24,0.12,0.10,0.80,0.16,50,3100,0.74,24,0.72,8.2,0.22,0.24,2.4,2.5,0.45,8,3,9.5,4.0,estimated
Germany,WC,2018,UEFA,1980,1,3,0,0,27.5,3.5,0.16,0.22,0.10,0.20,0.90,0.22,58,3600,0.62,192,0.60,8.4,0.22,0.14,1.8,2.3,0.48,2,4,4.5,4.5,estimated
England,WC,2018,UEFA,1870,12,4,3,0,25.0,3.0,0.32,0.08,0.34,0.98,0.98,0.18,28,1600,0.80,18,0.78,9.2,0.30,0.18,2.1,2.0,0.20,12,8,9.0,7.0,estimated
Japan,WC,2018,AFC,1700,61,3,1,0,28.0,3.6,0.10,0.32,0.30,0.50,0.30,0.16,45,2700,0.78,18,0.76,10.5,0.28,0.30,1.6,1.6,0.04,6,7,5.0,6.5,estimated
Senegal,WC,2018,CAF,1720,27,3,1,0,26.5,3.4,0.18,0.18,0.16,0.04,0.70,0.16,30,1800,0.74,30,0.72,9.6,0.24,0.26,1.7,1.7,0.06,2,3,3.5,3.0,estimated
South Korea,WC,2018,AFC,1680,57,2,1,0,27.0,3.5,0.16,0.20,0.34,0.45,0.30,0.18,38,2300,0.76,12,0.74,10.8,0.26,0.24,1.5,1.5,0.03,3,3,3.0,4.0,estimated
Mexico,WC,2018,CONCACAF,1750,15,3,1,0,28.5,3.8,0.10,0.30,0.30,0.55,0.25,0.16,55,3400,0.78,30,0.76,10.0,0.24,0.28,1.8,1.8,0.08,3,4,3.5,4.5,estimated
