name,team,npxG_p90,xAG_p90,SoT_p90,source
El Kaabi,Morocco,0.46,0.14,1.8,manual_estimate_olympiacos
Bounou,Morocco,0.00,0.00,0.0,manual_estimate_alhilal
Saibari,Morocco,0.29,0.36,1.5,manual_estimate_psv
B. Diaz,Morocco,0.33,0.38,1.7,manual_estimate_alkhaleej
Rochet,Uruguay,0.00,0.00,0.0,manual_estimate_nacional
Galindez,Ecuador,0.00,0.00,0.0,manual_estimate_ldquito
Vargas,Colombia,0.00,0.00,0.0,manual_estimate_millonarios
El Shenawy,Egypt,0.00,0.00,0.0,manual_estimate_alahly
Ordonez,Ecuador,0.05,0.07,0.2,manual_estimate_brugge
Taremi,Iran,0.44,0.21,1.7,manual_estimate_intermilan
