team,corner_rate,fk_goal_rate,pk_rate
Argentina,0.16,0.05,0.12
France,0.15,0.04,0.11
Spain,0.14,0.03,0.10
England,0.20,0.05,0.13
Brazil,0.15,0.05,0.10
Portugal,0.17,0.06,0.12
Netherlands,0.19,0.04,0.11
Belgium,0.16,0.05,0.11
Germany,0.18,0.05,0.12
Croatia,0.18,0.04,0.10
Morocco,0.19,0.03,0.09
Uruguay,0.17,0.03,0.11
Colombia,0.16,0.04,0.10
Switzerland,0.17,0.05,0.10
Japan,0.14,0.03,0.08
Senegal,0.20,0.03,0.10
United States,0.16,0.03,0.10
Mexico,0.15,0.04,0.11
Ecuador,0.18,0.03,0.09
Austria,0.19,0.04,0.10
Norway,0.18,0.04,0.12
Sweden,0.20,0.04,0.10
Egypt,0.15,0.03,0.11
Ivory Coast,0.18,0.03,0.09
Australia,0.19,0.03,0.10
Turkey,0.17,0.05,0.10
Canada,0.16,0.03,0.09
Iran,0.17,0.04,0.10
South Korea,0.15,0.04,0.09
Paraguay,0.18,0.03,0.10
Scotland,0.21,0.04,0.09
Algeria,0.16,0.04,0.09
Tunisia,0.17,0.02,0.08
Czech Republic,0.19,0.04,0.10
Bosnia and Herzegovina,0.18,0.05,0.10
DR Congo,0.17,0.03,0.09
Ghana,0.18,0.02,0.09
South Africa,0.16,0.02,0.08
Qatar,0.15,0.03,0.09
Saudi Arabia,0.15,0.03,0.10
Cape Verde,0.16,0.02,0.08
Panama,0.18,0.02,0.09
Iraq,0.16,0.03,0.08
Uzbekistan,0.17,0.03,0.09
Jordan,0.17,0.02,0.08
New Zealand,0.20,0.02,0.08
Curacao,0.15,0.02,0.07
Haiti,0.15,0.02,0.08
