team,elo_approx
Argentina,2090
France,2070
Spain,2050
England,2010
Brazil,2000
Portugal,1985
Netherlands,1970
Belgium,1945
Germany,1935
Croatia,1850
Morocco,1845
Uruguay,1835
Colombia,1825
Switzerland,1805
Japan,1795
Senegal,1785
United States,1775
Mexico,1765
Ecuador,1755
Austria,1745
Norway,1735
Sweden,1725
Egypt,1715
Ivory Coast,1705
Australia,1700
Turkey,1700
Canada,1695
Iran,1690
South Korea,1690
Paraguay,1665
Scotland,1660
Algeria,1655
Tunisia,1645
Czech Republic,1640
Bosnia and Herzegovina,1635
DR Congo,1625
Ghana,1615
South Africa,1605
Qatar,1565
Saudi Arabia,1560
Cape Verde,1555
Panama,1555
Iraq,1550
Uzbekistan,1545
Jordan,1530
New Zealand,1500
Curacao,1490
Haiti,1470
